Population,State,County,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),Households,Total County Carbon Footprint (tCO2e/yr)
15752,AL,CHOCTAW ,13003.52532,26412.95914,1.47359611,23362.3517,15.34716908,14.08810655,7.433004698,4.046238392,4.268135673,45.18265439,7800.0,352424.7043
21818,AL,MARENGO ,13388.88944,30076.46084,4.666908247,21395.12503,14.20935063,14.66460305,7.639273536,4.225445712,4.473560854,45.21223378,9765.0,441497.4628
20311,AL,CHEROKEE ,12084.20463,27722.90685,4.401743301,22821.69987,15.281825,13.72359966,7.219189602,4.390461886,4.77563189,45.39070804,12418.0,563661.8124
13694,AL,CRENSHAW ,13201.97479,27254.29238,1.614012607,23777.43457,15.65712584,14.24891663,7.190448372,4.060635787,4.32773301,45.48485964,6814.0,309933.8336
37223,AL,COVINGTON ,13713.71502,28382.02582,1.218742696,22901.06496,15.17172013,14.72272282,7.111565967,4.139892581,4.437487371,45.58338887,18336.0,835817.0184
17910,AL,HALE ,13762.41613,29705.24634,3.067209362,21517.8191,14.23560892,14.85830678,7.937025126,4.207904982,4.416373818,45.65521963,8067.0,368300.6568
86700,AL,HOUSTON ,12740.13774,26111.86991,4.220273007,21908.95202,14.84566028,13.91814327,7.318622491,4.63457804,5.079059072,45.79606316,38787.0,1776291.902
22817,AL,MONROE ,13633.84454,27698.73128,1.363630302,21895.89087,14.58878219,14.63583114,7.677731954,4.342677094,4.629296358,45.87431874,10637.0,487965.1284
37244,AL,TALLAPOOSA ,12924.76951,29587.15718,1.661163268,22677.84741,15.21937351,14.23935634,7.272828375,4.468411781,4.860235711,46.06020571,18715.0,862016.7499
26722,AL,GENEVA ,13500.75235,26347.50466,7.388722184,24018.00954,15.82279385,14.52336369,7.317439189,4.137860491,4.404368973,46.20582619,12492.0,577203.1808
38461,AL,ESCAMBIA ,13302.1183,27965.82592,6.005283997,23158.59351,15.38324351,14.4786952,7.434940849,4.299713352,4.610848411,46.20744132,16544.0,764455.9091
36605,AL,CHAMBERS ,13518.51949,32269.43785,3.214329441,22291.62385,14.90766295,14.86363938,7.482794973,4.404264599,4.744376531,46.40273843,16385.0,760308.8692
21161,AL,PICKENS ,13599.50169,29590.21109,11.25632944,23144.16625,15.28010212,14.82256919,7.711602004,4.219206176,4.464088574,46.49756806,9669.0,449584.9856
27241,AL,WINSTON ,12773.86683,30125.0442,4.058259731,24682.14577,16.28880756,14.35654117,7.320555046,4.226479138,4.525216452,46.71759937,13291.0,620923.6132
156029,AL,TUSCALOOSA ,13100.32131,31178.39236,1.563072141,22637.68102,15.33353436,14.42575164,7.219726141,4.675086807,5.146004939,46.80010389,67864.0,3176042.251
16600,AL,HENRY ,13699.19628,26357.60385,6.545591786,23583.02102,15.7249652,14.63744489,7.453183735,4.417138366,4.774864114,47.0075963,8127.0,382030.7352
21209,AL,RANDOLPH ,12739.36049,28931.98617,0.8535125,24868.71837,16.4412238,14.08045503,7.544214249,4.34391584,4.651337658,47.06114657,9701.0,456540.1829
226537,AL,MONTGOMERY ,14069.48257,36245.07881,0.398645513,20372.39207,13.99846169,15.53688641,7.406172811,4.81530763,5.30817317,47.06500171,96766.0,4554291.956
79605,AL,TALLADEGA ,13072.16943,31636.99641,2.767733039,23828.83779,15.8842853,14.51250257,7.480190315,4.449854247,4.807832844,47.13466528,34402.0,1621526.755
71802,AL,WALKER ,12591.23282,28317.08394,3.389661846,25554.94138,16.88091381,13.9364484,7.37990432,4.313120427,4.642343694,47.15273065,32961.0,1554201.155
48675,AL,DALE ,13303.49199,27203.06936,2.746654849,23571.58802,15.73185785,14.36011503,7.688399384,4.519724324,4.868164215,47.16826081,21515.0,1014825.131
28250,AL,CLARKE ,14583.11105,30461.48777,2.037714653,22647.96821,15.01821073,15.53636791,7.832167434,4.322158442,4.583809448,47.29271397,12765.0,603691.4938
17059,AL,LAMAR ,13585.01989,30376.81376,1.710556759,25077.06624,16.53993396,14.76687791,7.299394455,4.232325727,4.536952298,47.37548435,8070.0,382320.1587
16258,AL,FAYETTE ,13048.612,29910.96364,0.0,25904.27482,17.079458,14.32043879,7.229158568,4.251196284,4.579089468,47.45934111,7504.0,356134.8957
44999,AL,COFFEE ,13118.57059,26919.31529,4.204885698,23849.98804,16.04511466,14.28088627,7.404898553,4.657470181,5.102121385,47.49049104,20471.0,972177.8421
13187,AL,CLAY ,12987.01009,29321.27701,0.971133901,26421.36369,17.38728963,14.22450957,7.255215743,4.23800533,4.559352678,47.66437295,6217.0,296329.4066
120033,AL,CALHOUN ,13273.6311,33694.93715,2.396874898,23951.69992,16.01486355,14.99690059,7.316130064,4.500579487,4.896249661,47.72472335,54608.0,2606151.693
10817,AL,COOSA ,13248.75537,28784.52189,3.966586643,24358.74531,16.22820715,14.49213149,7.608437644,4.534679817,4.890730498,47.7541866,5459.0,260690.1046
63332,AL,DE KALB ,12242.02279,27497.78964,9.190636462,25882.13421,17.10400031,13.91411259,7.608074749,4.409189678,4.737560594,47.77293793,27637.0,1320300.685
28523,AL,MARION ,14134.15963,33344.19761,0.898130451,24711.35624,16.35339738,15.54008308,7.127546892,4.251403393,4.585922183,47.85835293,13192.0,631347.3919
33187,AL,FRANKLIN ,13395.80619,34541.52306,2.584479583,25444.39958,16.72982494,15.11289187,7.555059813,4.240024976,4.51142872,48.14923032,14649.0,705338.0749
105818,AL,ETOWAH ,13406.0801,37243.75902,1.645611293,24540.07243,16.36295288,15.34763847,7.320207243,4.477758784,4.86605799,48.37461537,53420.0,2584171.953
86258,AL,MARSHALL ,13037.50333,31064.31225,3.527775233,25353.7442,16.85116964,14.69544866,7.521276635,4.50590668,4.877641466,48.45144308,41012.0,1987090.583
53652,AL,COLBERT ,13228.99764,34889.24073,6.655386565,25020.98002,16.68112877,15.18604124,7.269249049,4.498755387,4.902375132,48.53754959,24291.0,1179025.617
76551,AL,CULLMAN ,12505.86189,27233.33007,5.200409838,26730.42586,17.73352601,14.02799887,7.494148999,4.56243334,4.953655291,48.77176251,35048.0,1709352.732
